Date,Date_no,delta13C_P,delta15N_P,delta13C_T,delta15N_T
Feb,1,-31.901,5.805,-32.062,0.443
Feb,1,-31.816,5.903,-32.204,0.175
Feb,1,-31.422,6.541,-32.196,0.907
Feb,1,-31.631,5.996,-31.838,0.711
Nov,2,-26.274,2.931,-31.728,0.971
Nov,2,-26.316,2.16,-31.627,0.953
Nov,2,-26.389,2.906,-31.654,0.642
Nov,2,-26.3,1.655,-31.257,1.152
June,3,-27.745,6.834,-29.911,3.782
June,3,-28.434,7.084,-29.783,3.709
June,3,-28.023,6.501,-29.653,3.597
June,3,-27.887,6.357,-29.773,3.616
Feb.2019,4,-27.97,3.95,-28.49,1.06
Feb.2019,4,-27.75,4.13,-28.28,1.46
Feb.2019,4,-27.89,4.46,-28.57,0.94
